id,类别,名称,功能,价格,稀有度,可叠加,叠加上限,状态,备注
rematch,道具,重赛,立刻获得 1 次重生（上限 2）,25,稀有,是,2,启用,加到 revives，不进 items 计数也可
warmup,道具,热身赛,下一关开局倒计时获得额外5秒,10,普通,否,-,启用,
streakSave,道具,连击保护,下次断连击时保住连击一次,25,稀有,是,-,启用,streakSave 旗标
swishPlus,饰品,空心暴击,空心球得分+1,10,普通,是,-,启用,每级加强空心加成
streakPlus,饰品,连击暴击,连击得分+1,30,稀有,是,-,启用,每级加强连击分
softDecay,饰品,缓慢计时,整局时钟衰减略缓,45,史诗,是,-,启用,改衰减系数
rimGrip,饰品,粗糙篮筐,篮筐摩擦略增，更易打铁偏转,20,普通,是,-,启用,rimFric 乘区
ballBounce,饰品,打气筒,篮球弹性略增,10,普通,是,-,启用,ball 弹性乘区
toiletcleaner,饰品,马桶清洁,刷马桶进球得分+1,10,普通,是,,启用,
toiletcoin,饰品,马桶币,刷马桶进球+1金币,10,普通,是,,启用,
HeroMoment,饰品,绝杀绝杀时刻,绝杀时刻可以操控篮球,50,传说,否,,启用,
blackhole,饰品,黑洞,开局获得一个持续4s的黑洞,50,传说,是,,启用,
slingshot,饰品,引力弹弓,黑洞存在时所有进球为三倍得分,55,传说,是,,启用,
swishmoney,饰品,空心货币,空心球获得金币+1,20,稀有,是,,启用,
luckyshot,饰品,幸运暴击,幸运弹球得分+5,15,稀有,是,,启用,
luckyshotmoney,饰品,幸运暴金币,幸运弹球获得金币+5,15,稀有,是,,启用,
bankshot,饰品,擦板暴击,擦板球得分+1,10,普通,是,,启用,
bankshotmoney,饰品,擦板暴金币,擦板球获得金币+1,15,稀有,是,,启用,
througNeedle,饰品,穿针暴击,穿针引线得分+5,10,普通,是,,启用,
NeedleCoin,饰品,针穿金币,穿针引线获得金币+5,15,稀有,是,,启用,
smallshoe,饰品,穿小鞋,篮球前进距离减少,25,稀有,是,,启用,
jumphigher,饰品,弹力鞋,篮球上升距离增加,25,稀有,是,,启用,
biggershoe,饰品,大号球鞋,篮球前进距离增加,25,稀有,是,,启用,
jumplower,饰品,小跳,篮球上升距离减少,25,稀有,是,,启用,
easycombo,饰品,简易连招,连击冷却时间+1s,40,史诗,是,,启用,
pointexchanger,道具,汇率转换,使用该道具后的5次进球得分数转换为金币,40,史诗,否,,启用,
moneyprotecter,道具,金币护身符,没达到关卡目标分数时，将剩余金币转化为得分,40,史诗,否,,启用,如果转化后得分达到关卡目标分数则进入过关结算。
startearlier,饰品,提前启动,开局获得连击5,35,史诗,是,,启用,球种有基础球才会出现
jiahao,饰品,自在极意豪,在地面缓慢滚动时每0.5秒获得1金币,50,传说,是,,启用,
safepackage,饰品,安全包装,玻璃球下次落地时不扣基础分且游戏不结束,30,史诗,否,,启用,球种有玻璃球才会出现
deepbomb,饰品,深水暴击,深水炸弹得分+10,20,普通,是,,启用,
deepbombcoin,饰品,大水币,深水炸弹获得金币+10,30,稀有,是,,启用,
